station_european_code;station_local_code;country_iso_code;country_name;station_name;station_start_date;station_end_date;type_of_station;station_ozone_classification;station_type_of_area;station_subcat_rural_back;street_type;station_longitude_deg;station_latitude_deg;station_altitude;station_city;lau_level1_code;lau_level2_code;lau_level2_name;EMEP_station
DEBY109;DEBY109;DE;GERMANY;Andechs/Rothenfeld;17/04/2003;;Background;rural;rural;regional;;11.220172;47.968754;700;;;9188117;Andechs;no
DEUB022;DEUB022;DE;GERMANY;Angermünde;01/07/1991;20/04/1999;Background;rural;rural;unknown;;13.990561;53.030094;56;KERKOW;;;;no
DESN001;DESN001;DE;GERMANY;Annaberg-Buchholz;01/09/1994;;Background;urban;urban;unknown;Wide street: L/H > 1.5;12.997278;50.570869;545;ANNABERG-BUCHHOLZ;;14521020;Annaberg-Buchholz, Stadt;no
DESN062;DESN062;DE;GERMANY;Annaberg-Buchholz Rathaus;01/12/1987;31/12/1994;Background;;urban;unknown;;13.003072;50.580433;705;ANNABERG-BUCHHOLZ;;14521020;Annaberg-Buchholz, Stadt;no
DEUB013;DEUB013;DE;GERMANY;Ansbach UBA;01/01/1976;12/03/2001;Background;rural;rural;unknown;Unknown;10.584027;49.247288;481;;;;;no
DEBY001;DEBY001;DE;GERMANY;Ansbach/Residenzstraße;01/07/1989;;Traffic;urban;urban;unknown;;10.572297;49.304890;400;ANSBACH;;9561000;Ansbach;no
DETH048;DETH048;DE;GERMANY;Apolda A.-Bebel-Str.;17/07/1991;14/12/1995;Background;;urban;unknown;;11.515936;51.022518;170;APOLDA;;16071001;Apolda, Stadt;no
DETH017;DETH017;DE;GERMANY;Apolda Busbahnhof;14/12/1995;21/01/2003;Background;;urban;unknown;;11.516067;51.027710;165;APOLDA;;16071001;Apolda, Stadt;no
DETH016;DETH016;DE;GERMANY;Arnstadt Alter Friedhof;04/07/1996;12/01/2005;Background;urban;urban;unknown;;10.947153;50.837135;275;;160705050;;Arnstadt, Stadt;no
DETH045;DETH045;DE;GERMANY;Arnstadt Ritterstr.;31/12/1991;04/07/1996;Background;;urban;unknown;;10.950603;50.835968;275;ARNSTADT;160705050;;Arnstadt, Stadt;no
DEBY002;DEBY002;DE;GERMANY;Arzberg/Egerstraße;01/01/1980;;Background;urban;urban;unknown;;12.188650;50.058193;480;ARZBERG;;9479112;Arzberg, St;no
DEBY105;DEBY105;DE;GERMANY;Aschaffenburg, Hanauer Straße;01/03/2001;31/10/2001;Traffic;;urban;unknown;;9.135139;49.979328;130;;;9661000;Aschaffenburg;no
DEBY104;DEBY104;DE;GERMANY;Aschaffenburg, Landingstraße;01/03/2001;28/02/2002;Traffic;;urban;unknown;;9.145497;49.974720;130;;;9661000;Aschaffenburg;no
DEBY106;DEBY106;DE;GERMANY;Aschaffenburg, Löherstraße;01/03/2001;30/09/2001;Traffic;;urban;unknown;;9.145964;49.972328;125;;;9661000;Aschaffenburg;no
DEBY005;DEBY005;DE;GERMANY;Aschaffenburg/Bussardweg;01/08/1978;;Background;suburban;suburban;unknown;;9.117972;49.991516;134;ASCHAFFENBURG;;9661000;Aschaffenburg;no
DEBY003;DEBY003;DE;GERMANY;Aschaffenburg/Schweinheimer Straße;01/01/1975;;Background;;urban;unknown;;9.150800;49.971478;133;;;9661000;Aschaffenburg;no
DEST095;DEST095;DE;GERMANY;Aschersleben;02/11/2000;;Traffic;;urban;unknown;;11.449439;51.759552;125;;;;;no
DEBY139;DEBY139;DE;GERMANY;Aschheim;01/04/1991;;Background;rural;rural;regional;;11.695900;48.201700;490;;;;;no
DENW009;DENW009;DE;GERMANY;Asseln;01/12/1980;31/12/1996;Background;suburban;suburban;unknown;Unknown;7.592664;51.524178;85;DORTMUND;;;;no
DESN002;DESN002;DE;GERMANY;Aue;01/09/1994;13/08/2002;Traffic;urban;urban;unknown;Wide street: L/H > 1.5;12.702311;50.587757;348;AUE;;14521030;Aue, Stadt;no
DESN063;DESN063;DE;GERMANY;Aue Schulbrücke;01/12/1988;31/12/1994;Background;urban;urban;unknown;;12.702024;50.587490;352;AUE;;14521030;Aue, Stadt;no
DESN048;DESN048;DE;GERMANY;Auerbach;01/09/1994;31/12/2000;Traffic;urban;urban;unknown;Unknown;12.398338;50.509998;459;AUERBACH;;14523020;Auerbach/Vogtl., Stadt;no
DESN064;DESN064;DE;GERMANY;Auerbach Bahnhofstr.;01/02/1993;31/12/1994;Traffic;;urban;unknown;;12.399339;50.512783;457;AUERBACH;;14523020;Auerbach/Vogtl., Stadt;no
DEBY007;DEBY007;DE;GERMANY;Augsburg/Bourges-Platz;01/08/1986;;Background;;urban;unknown;;10.888370;48.376575;477;AUGSBURG;;9761000;Augsburg;no
DEBY008;DEBY008;DE;GERMANY;Augsburg/Haunstetten;01/01/1975;31/03/2001;Background;suburban;suburban;unknown;Unknown;10.907772;48.308270;502;AUGSBURG;;9761000;Augsburg;no
DEBY110;DEBY110;DE;GERMANY;Augsburg/Karlstraße;01/08/2003;;Traffic;;urban;unknown;;10.896822;48.370373;485;;;9761000;Augsburg;no
DEBY006;DEBY006;DE;GERMANY;Augsburg/Königsplatz;01/01/1975;;Traffic;;urban;unknown;Canyon street: L/H < 1.5;10.895028;48.364590;492;AUGSBURG;;9761000;Augsburg;no
DEBY099;DEBY099;DE;GERMANY;Augsburg/LfU;27/07/2000;;Background;suburban;suburban;unknown;;10.903049;48.326012;495;AUGSBURG;;9761000;Augsburg;no
DEUB038;DEUB038;DE;GERMANY;Aukrug;01/07/1998;27/10/2005;Background;rural;rural;unknown;;9.791584;54.073120;15;AUKRUG;10585808;;Aukrug;yes
DEBE050;DEBE050;DE;GERMANY;B Blankenburg;01/12/1992;29/02/1996;Background;;suburban;unknown;;13.459117;52.588352;50;;;11000000;Berlin, Stadt;no
DEBE025;DEBE025;DE;GERMANY;B Britz-Parchimer Allee;01/12/1988;31/03/1997;Background;;suburban;unknown;;13.457517;52.446640;35;BERLIN;;;;no
DEBE051;DEBE051;DE;GERMANY;B Buch;01/02/1993;;Background;suburban;suburban;unknown;;13.494859;52.636711;60;BERLIN;;11000000;Berlin, Stadt;no
DEBE042;DEBE042;DE;GERMANY;B Charlottenburg-O.-Suhr-A. (Turm, 60 m);05/02/1988;;Traffic;urban;urban;unknown;;13.308562;52.517498;35;;;;;no
DEBE014;DEBE014;DE;GERMANY;B Charlottenburg-Stadtautobahn;01/12/1986;23/03/2005;Traffic;urban;urban;unknown;;13.282186;52.517429;50;BERLIN;;11000000;Berlin, Stadt;no
DEBE007;DEBE007;DE;GERMANY;B Falkenhagener Feld-Pionierstr.;01/12/1988;31/12/1995;Background;;suburban;unknown;;13.167762;52.557705;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE056;DEBE056;DE;GERMANY;B Friedrichshagen;01/02/1994;;Background;rural;rural;near city;;13.647014;52.447754;35;;;11000000;Berlin, Stadt;no
DEBE065;DEBE065;DE;GERMANY;B Friedrichshain-Frankfurter Allee;01/09/1993;;Traffic;;urban;unknown;Canyon street: L/H < 1.5;13.469314;52.513317;40;BERLIN;;11000000;Berlin, Stadt;no
DEBE047;DEBE047;DE;GERMANY;B Friedrichshain-K.-Marx-Allee;01/01/1991;31/03/1996;Traffic;;urban;unknown;;13.451705;52.515919;40;BERLIN;;11000000;Berlin, Stadt;no
DEBE062;DEBE062;DE;GERMANY;B Frohnau, Funkturm (3.5 m);01/02/1996;;Background;rural;rural;near city;;13.296353;52.653152;50;BERLIN;;11000000;Berlin, Stadt;no
DEBE037;DEBE037;DE;GERMANY;B Frohnau, Funkturm (324 m);01/01/1990;;Background;rural;rural;near city;;13.295945;52.654330;50;;;;;no
DEBE032;DEBE032;DE;GERMANY;B Grunewald (3.5 m);01/10/1986;;Background;rural;rural;near city;;13.225855;52.473091;50;BERLIN;;11000000;Berlin, Stadt;no
DEBE052;DEBE052;DE;GERMANY;B Grunewald (Turm 25 m);01/10/1986;;Background;rural;rural;near city;;13.224372;52.472655;50;;;;;no
DEBE067;DEBE067;DE;GERMANY;B Hardenbergplatz;01/01/2004;;Traffic;;urban;unknown;;13.332839;52.506603;35;;;11000000;Berlin, Stadt;no
DEBE008;DEBE008;DE;GERMANY;B Haselhorst-Rhenaniastr.;01/01/1989;31/03/1996;Background;;suburban;unknown;Unknown;13.229622;52.555283;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE019;DEBE019;DE;GERMANY;B Hasenheide-Columbiadamm;01/12/1988;30/06/1992;Background;;urban;unknown;;13.415863;52.477707;45;BERLIN;;11000000;Berlin, Stadt;no
DEBE001;DEBE001;DE;GERMANY;B Heiligensee-Krantorweg;01/10/1989;31/03/1997;Background;suburban;suburban;unknown;;13.227053;52.621632;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE059;DEBE059;DE;GERMANY;B Hellersdorf;01/07/1993;31/03/1996;Background;;suburban;unknown;;13.575928;52.512531;40;;;11000000;Berlin, Stadt;no
DEBE002;DEBE002;DE;GERMANY;B Hermsdorf-Glambecker Weg;01/01/1989;30/04/1992;Background;;suburban;unknown;;13.290653;52.625179;50;BERLIN;;11000000;Berlin, Stadt;no
DEBE058;DEBE058;DE;GERMANY;B Hohenschönhausen;01/03/1993;31/03/1996;Background;;suburban;unknown;;13.529574;52.556549;60;;;11000000;Berlin, Stadt;no
DEBE066;DEBE066;DE;GERMANY;B Karlshorst-Rheingoldstr./Königswinterstr.;01/07/1999;;Background;;urban;unknown;;13.529574;52.485279;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE057;DEBE057;DE;GERMANY;B Karlshorst-Treskowallee;01/06/1993;30/04/1999;Traffic;;suburban;unknown;;13.526400;52.482082;35;BERLIN;;;;no
DEBE060;DEBE060;DE;GERMANY;B Kaulsdorf-Süd;01/03/1993;29/02/1996;Background;;rural;near city;;13.594797;52.476147;40;;;11000000;Berlin, Stadt;no
DEBE004;DEBE004;DE;GERMANY;B Konradshöhe-Dorndreher Weg;01/07/1989;30/04/1992;Background;;rural;near city;;13.234217;52.587585;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE016;DEBE016;DE;GERMANY;B Kreuzberg-Gitschiner Str.;01/03/1986;28/02/1993;Background;urban;urban;unknown;Unknown;13.404471;52.497612;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE055;DEBE055;DE;GERMANY;B Köpenick;01/11/1993;31/03/1997;Background;;suburban;unknown;;13.583327;52.443768;35;;;11000000;Berlin, Stadt;no
DEBE023;DEBE023;DE;GERMANY;B Lankwitz-Leonorenstr.;01/07/1989;31/03/1996;Background;;suburban;unknown;;13.341258;52.444427;40;BERLIN;;11000000;Berlin, Stadt;no
DEBE053;DEBE053;DE;GERMANY;B Lichtenberg-Rhinstr.;01/01/1991;31/03/1996;Traffic;;urban;unknown;;13.518675;52.514179;45;BERLIN;;11000000;Berlin, Stadt;no
DEBE028;DEBE028;DE;GERMANY;B Lichtenrade-Dielingsgrund;01/02/1989;31/10/1995;Background;;suburban;unknown;Unknown;13.409325;52.411282;45;BERLIN;;11000000;Berlin, Stadt;no
DEBE031;DEBE031;DE;GERMANY;B Lichtenrade-Paplitzer Str.;01/03/1989;31/05/1992;Background;;suburban;unknown;;13.403716;52.373596;45;BERLIN;;12072017;Blankenfelde-Mahlow;no
DEBE022;DEBE022;DE;GERMANY;B Lichterfelde-Curtiusstr.;01/01/1989;30/11/1994;Background;;suburban;unknown;;13.288215;52.441422;45;BERLIN;;11000000;Berlin, Stadt;no
DEBE026;DEBE026;DE;GERMANY;B Lichterfelde-Wupperstr.;01/02/1989;14/11/2002;Industrial;;rural;unknown;;13.275528;52.409203;40;BERLIN;;11000000;Berlin, Stadt;no
DEBE003;DEBE003;DE;GERMANY;B Lübars-Vierrutenberg;01/12/1988;31/10/1995;Background;;suburban;unknown;;13.338461;52.618809;40;BERLIN;;11000000;Berlin, Stadt;no
DEBE069;DEBE069;DE;GERMANY;B Mariendorf, Mariendorfer Damm;01/01/2009;;Traffic;urban;urban;unknown;;13.387636;52.438210;50;;;11000000;Berlin, Stadt;no
DEBE024;DEBE024;DE;GERMANY;B Mariendorf-Walnußweg;01/05/1989;31/10/1995;Background;;suburban;unknown;;13.413211;52.440891;45;BERLIN;;11000000;Berlin, Stadt;no
DEBE027;DEBE027;DE;GERMANY;B Marienfelde-Schichauweg;01/04/1989;;Industrial;rural;rural;unknown;Wide street: L/H > 1.5;13.370711;52.398525;45;BERLIN;;11000000;Berlin, Stadt;no
DEBE054;DEBE054;DE;GERMANY;B Marzahn;01/03/1993;31/03/1997;Traffic;;suburban;unknown;;13.583122;52.548653;50;;;11000000;Berlin, Stadt;no
DEBE068;DEBE068;DE;GERMANY;B Mitte, Brückenstraße;01/01/2003;;Background;;urban;unknown;;13.418831;52.513603;35;;;11000000;Berlin, Stadt;no
DEBE044;DEBE044;DE;GERMANY;B Mitte-Parochialstr.;01/11/1990;26/02/2004;Traffic;urban;urban;unknown;;13.408869;52.516792;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE020;DEBE020;DE;GERMANY;B Neukölln-Ederstraße;01/12/1988;30/11/1994;Background;;urban;unknown;;13.455524;52.475426;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE064;DEBE064;DE;GERMANY;B Neukölln-Karl-Marx-Str. 76;01/08/1993;;Traffic;;urban;unknown;Canyon street: L/H < 1.5;13.433661;52.481808;40;BERLIN;;11000000;Berlin, Stadt;no
DEBE034;DEBE034;DE;GERMANY;B Neukölln-Nansenstraße;01/03/1986;;Background;urban;urban;unknown;;13.434014;52.488091;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE063;DEBE063;DE;GERMANY;B Neukölln-Silbersteinstr.;01/05/1996;;Traffic;;urban;unknown;Canyon street: L/H < 1.5;13.441809;52.467491;40;BERLIN;;11000000;Berlin, Stadt;no
DEBE045;DEBE045;DE;GERMANY;B Pankow-Blankenfelder Str.;01/01/1991;14/03/2004;Traffic;;suburban;unknown;;13.404022;52.591084;45;BERLIN;;11000000;Berlin, Stadt;no
DEBE036;DEBE036;DE;GERMANY;B Reinickendorf-Emmentaler Str.;01/06/1988;31/12/1991;Background;suburban;suburban;unknown;;13.355431;52.570534;40;;;11000000;Berlin, Stadt;no
DEBE029;DEBE029;DE;GERMANY;B Rudow-Groß-Ziethener Ch.;01/01/1976;31/10/1995;Background;;suburban;unknown;;13.484278;52.411263;40;BERLIN;;11000000;Berlin, Stadt;no
DEBE030;DEBE030;DE;GERMANY;B Rudow-Künnekeweg;01/03/1989;31/10/1995;Background;;suburban;unknown;;13.519774;52.417999;45;BERLIN;;11000000;Berlin, Stadt;no
DEBE017;DEBE017;DE;GERMANY;B Schmargendorf-Lentzeallee;01/03/1986;31/12/1998;Background;;suburban;unknown;;13.294953;52.470306;50;BERLIN;;11000000;Berlin, Stadt;no
DEBE018;DEBE018;DE;GERMANY;B Schöneberg-Belziger Straße;01/11/1986;;Background;;urban;unknown;;13.348416;52.486134;40;BERLIN;;11000000;Berlin, Stadt;no
DEBE043;DEBE043;DE;GERMANY;B Schöneberg-Kärntener Str. (25 m);03/02/1988;;Background;urban;urban;unknown;;13.348155;52.477599;40;;;;;no
DEBE049;DEBE049;DE;GERMANY;B Schöneweide-Wilhelminenhofstr.;01/01/1991;31/03/1997;Traffic;;urban;unknown;;13.519758;52.460239;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE033;DEBE033;DE;GERMANY;B Siemensstadt-Motardstr.;01/07/1987;31/05/1992;Industrial;urban;urban;unknown;Unknown;13.259939;52.532494;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE012;DEBE012;DE;GERMANY;B Staaken-Weinmeisterhornweg;01/12/1988;31/03/1996;Background;;suburban;unknown;;13.168042;52.512768;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE061;DEBE061;DE;GERMANY;B Steglitz-Schildhornstr.;01/11/1994;;Traffic;;urban;unknown;Canyon street: L/H < 1.5;13.318308;52.463593;45;BERLIN;;11000000;Berlin, Stadt;no
DEBE005;DEBE005;DE;GERMANY;B Tegel-Buddestraße;01/04/1987;31/12/2002;Background;;suburban;unknown;;13.288054;52.587013;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE009;DEBE009;DE;GERMANY;B Tegel-Flughafen;01/12/1988;31/03/1996;Background;suburban;suburban;unknown;;13.288475;52.551060;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE035;DEBE035;DE;GERMANY;B Tempelhof-G.-Dunkel-Str.;01/08/1987;31/07/1995;Industrial;;urban;unknown;;13.415258;52.458839;50;BERLIN;;11000000;Berlin, Stadt;no
DEBE013;DEBE013;DE;GERMANY;B Tiefwerder-Havelchaussee;01/12/1988;30/04/1992;Background;;rural;near city;;13.216758;52.516773;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE015;DEBE015;DE;GERMANY;B Tiergarten-Bachstraße;01/08/1989;31/12/2002;Traffic;;urban;unknown;;13.339108;52.519043;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE038;DEBE038;DE;GERMANY;B Wannsee, Funkturm (120 m);01/01/1990;;Background;rural;rural;near city;;13.133189;52.417844;100;;;;;no
DEBE010;DEBE010;DE;GERMANY;B Wedding-Amrumer Str.;01/11/1984;;Background;urban;urban;unknown;Unknown;13.349119;52.542744;35;BERLIN;;11000000;Berlin, Stadt;no
DEBE011;DEBE011;DE;GERMANY;B Wedding/Prenzl. Berg-Behmstr.;01/07/1987;31/12/2002;Traffic;;suburban;unknown;Wide street: L/H > 1.5;13.396083;52.550289;45;BERLIN;;11000000;Berlin, Stadt;no
DEBE046;DEBE046;DE;GERMANY;B Weißensee-Berliner Allee/Wegenerstr.;01/01/1991;31/03/1997;Traffic;;urban;unknown;;13.468400;52.552559;50;BERLIN;;11000000;Berlin, Stadt;no
DEBE006;DEBE006;DE;GERMANY;B Wittenau-Rödernallee;01/10/1988;31/03/1995;Background;;suburban;unknown;;13.344852;52.586380;45;BERLIN;;;;no
DEBE021;DEBE021;DE;GERMANY;B Zehlendorf-Argentinische Allee;01/03/1989;30/06/1992;Background;;suburban;unknown;;13.242742;52.445499;45;BERLIN;;11000000;Berlin, Stadt;no
DEHE046;DEHE046;DE;GERMANY;Bad Arolsen;11/05/1999;;Background;rural;rural;unknown;;8.928172;51.430901;343;BAD AROLSEN/KOHLGRUND;;6635002;Bad Arolsen, Stadt;no
DETH068;DETH068;DE;GERMANY;Bad Berka Staub;01/01/2001;31/12/2001;Industrial;;suburban;unknown;;11.285184;50.902332;264;;;;;no
DEST031;DEST031;DE;GERMANY;Bad Dürrenberg;02/01/1993;31/12/2000;Background;suburban;suburban;unknown;;12.061600;51.296040;100;BAD DUERRENBERG;;;;no
DENI013;DENI013;DE;GERMANY;Bad Harzburg;01/11/1981;31/08/1994;Background;suburban;suburban;unknown;;10.558495;51.870373;300;BAD HARZBURG;;3153002;Bad Harzburg, Stadt;no
DEBY122;DEBY122;DE;GERMANY;Bad Hindelang/Oberjoch;21/06/2010;;Background;rural;rural;regional;;10.404233;47.518013;1169;;;9780123;Bad Hindelang, M;no
DERP022;DERP022;DE;GERMANY;Bad Kreuznach-Bosenheimer Straße;01/01/1989;;Background;urban;urban;unknown;Unknown;7.866208;49.842133;108;;;;;yes
DETH034;DETH034;DE;GERMANY;Bad Langensalza;09/04/1992;30/06/1998;Background;;urban;unknown;Wide street: L/H > 1.5;10.648983;51.108334;185;BAD LANGENSALZA;;16064003;Bad Langensalza, Stadt;no
DEBY079;DEBY079;DE;GERMANY;Bad Reichenhall/Nonn;01/05/1992;;Background;suburban;suburban;unknown;;12.858856;47.723186;465;BAD REICHENHALL;;9172114;Bad Reichenhall, GKSt;no
DEBY080;DEBY080;DE;GERMANY;Bad Reichenhall/Predigtstuhl;01/01/1985;;Background;rural background;rural;remote;;12.879267;47.701761;1613;;;;;no
DENW323;DENW323;DE;GERMANY;Bad Salzuflen Bahnhofstraße;24/01/2012;;Traffic;urban;urban;unknown;;8.744697;52.080964;76;;;;;no
DENW322;DENW322;DE;GERMANY;Bad Salzuflen Beetstraße;24/01/2012;;Traffic;urban;urban;unknown;;8.756275;52.083800;97;;;;;no
DETH022;DETH022;DE;GERMANY;Bad Salzungen;01/02/1978;06/07/1998;Industrial;;suburban;unknown;Wide street: L/H > 1.5;10.230027;50.808575;265;BAD SALZUNGEN;160635051;;Bad Salzungen, Stadt;no
DEBW102;DEBW102;DE;GERMANY;Bad Waldsee;19/08/1998;01/04/2003;Background;suburban;suburban;unknown;;9.754411;47.915565;610;BAD WALDSEE;84365002;;Bad Waldsee, Stadt;no
DEBW076;DEBW076;DE;GERMANY;Baden-Baden;22/04/1993;;Background;suburban;suburban;unknown;Wide street: L/H > 1.5;8.220214;48.773072;148;BADEN-BADEN;;8211000;Baden-Baden, Stadt;no
DEBW045;DEBW045;DE;GERMANY;Balingen;01/11/1990;30/06/2000;Background;urban;urban;unknown;;8.854501;48.274769;520;BALINGEN;84175002;;Balingen, Stadt;no
DEBY009;DEBY009;DE;GERMANY;Bamberg/Löwenbrücke;01/01/1978;;Background;;urban;unknown;;10.887686;49.898331;231;BAMBERG;;9461000;Bamberg;no
DENI071;DENI071;DE;GERMANY;Barbis-Verkehr;01/01/2007;;Traffic;;suburban;unknown;;10.422750;51.613647;273;;;3156002;Bad Lauterberg im Harz, Stadt;no
DESH004;DESH004;DE;GERMANY;Bargteheide;02/03/1983;29/06/1995;Background;suburban;suburban;unknown;;10.267478;53.740509;50;;;1062006;Bargteheide, Stadt;no
DESH043;DESH043;DE;GERMANY;Barlohe;01/01/1994;;Background;rural;rural;unknown;;9.626083;54.152941;35;;;;;no
DESH016;DESH016;DE;GERMANY;Barsbüttel;14/06/1995;;Background;suburban;suburban;unknown;;10.214872;53.570580;42;;;;;no
DEUB007;DEUB007;DE;GERMANY;Bassum;01/01/1980;12/12/2004;Background;rural;rural;unknown;;8.700380;52.850754;52;BASSUM;;;;yes
DESN004;DESN004;DE;GERMANY;Bautzen;01/09/1994;;Background;urban;urban;unknown;Unknown;14.443772;51.175671;203;BAUTZEN;;14625020;Bautzen, Stadt;no
DESN065;DESN065;DE;GERMANY;Bautzen Fleischmarkt;01/01/1989;31/12/1991;Background;;urban;unknown;;14.423761;51.181679;210;BAUTZEN;;14625020;Bautzen, Stadt;no
DEBY161;DEBY161;DE;GERMANY;Bayerischer Wald Bestandsfläche;01/01/1988;;Background;rural;rural;unknown;;13.429294;48.961164;970;;;;;no
DEBY164;DEBY164;DE;GERMANY;Bayerischer Wald Freilandfläche;01/01/1988;;Background;rural;rural;unknown;;13.427625;48.960139;980;;;;;no
DEBY111;DEBY111;DE;GERMANY;Bayreuth/Hohenzollernring;01/08/2003;;Traffic;;urban;unknown;;11.570088;49.943638;337;;;9462000;Bayreuth;no
DEBY010;DEBY010;DE;GERMANY;Bayreuth/Rathaus;01/01/1978;01/05/2012;Traffic;;urban;unknown;;11.575755;49.947083;336;BAYREUTH;;9462000;Bayreuth;no
DEHE032;DEHE032;DE;GERMANY;Bebra;01/01/1988;;Background;urban;urban;unknown;;9.800261;50.970028;204;BEBRA;;6632003;Bebra, Stadt;no
DEBB069;DEBB069;DE;GERMANY;Belzig, Niemegker Str.;29/07/2004;02/01/2007;Traffic;;urban;unknown;;12.589189;52.142082;85;;;;;no
DETH062;DETH062;DE;GERMANY;Bergern bei Bad Berka;03/01/2001;08/01/2002;Industrial;rural;rural;unknown;;11.282370;50.917057;368;;;16071003;Bad Berka, Stadt;no
DENW003;DENW003;DE;GERMANY;Bergkamen;01/11/1986;25/11/1996;Background;;suburban;unknown;;7.651680;51.623741;72;BERGKAMEN;;5978004;Bergkamen, Stadt;no
DEBB050;DEBB050;DE;GERMANY;Bernau;01/03/1999;19/01/2010;Background;suburban;suburban;unknown;;13.583772;52.684196;74;BERNAU;;12060020;Bernau bei Berlin, Stadt;no
DEBB039;DEBB039;DE;GERMANY;Bernau, Altersheim;01/01/1997;30/07/1998;Background;suburban;suburban;unknown;;13.582088;52.680500;74;BERNAU;;12060020;Bernau bei Berlin, Stadt;no
DEBB068;DEBB068;DE;GERMANY;Bernau, Lohmühlenstr.;09/01/2003;;Traffic;;urban;unknown;;13.582270;52.677650;71;;;12060020;Bernau bei Berlin, Stadt;no
DEST029;DEST029;DE;GERMANY;Bernburg;28/01/1993;;Traffic;suburban;suburban;unknown;;11.738976;51.803566;60;BERNBURG;;;;no
DEBW042;DEBW042;DE;GERMANY;Bernhausen;01/12/1989;;Background;suburban;suburban;unknown;;9.227769;48.678069;370;BERNHAUSEN;;8116077;Filderstadt, Stadt;no
DESL001;DESL001;DE;GERMANY;Berus;01/03/1987;;Background;;rural;unknown;;6.687125;49.263905;363;ÜBERHERRN;;10044119;Überherrn;no
DESL002;DESL002;DE;GERMANY;Bexbach Schule;01/06/1987;;Background;urban;urban;unknown;;7.263233;49.362049;273;BEXBACH;;10045111;Bexbach, Stadt;no
DEBW046;DEBW046;DE;GERMANY;Biberach;01/11/1990;;Background;suburban;suburban;unknown;;9.800325;48.089886;534;BIBERACH;84265003;;Biberach an der Riß, Stadt;no
DEHE002;DEHE002;DE;GERMANY;Biebesheim;01/07/1982;31/12/1996;Background;rural;rural;regional;;8.487025;49.775230;89;FRANKFURT A. MAIN;;;;no
DENW200;DENW200;DE;GERMANY;Bielefeld Detmolder Straße;28/12/2006;10/01/2008;Traffic;;urban;unknown;;8.552803;52.005623;137;;;5711000;Bielefeld, Stadt;no
DENW146;DENW146;DE;GERMANY;Bielefeld Detmolder Straße 9;29/04/2005;21/12/2006;Traffic;;urban;unknown;;8.533103;52.014957;137;;;5711000;Bielefeld, Stadt;no
DENW140;DENW140;DE;GERMANY;Bielefeld Osnabrücker Straße;01/01/2005;03/01/2006;Traffic;;urban;unknown;;8.490933;52.000469;135;;;5711000;Bielefeld, Stadt;no
DENW177;DENW177;DE;GERMANY;Bielefeld Stapenhorststraße;08/06/2005;10/01/2008;Traffic;;urban;unknown;;8.519552;52.027267;140;;;5711000;Bielefeld, Stadt;no
DENW228;DENW228;DE;GERMANY;Bielefeld Stapenhorststraße 42;21/11/2007;;Traffic;;urban;unknown;;8.522291;52.025959;126;;;5711000;Bielefeld, Stadt;no
DENW186;DENW186;DE;GERMANY;Bielefeld Stapenhorststraße 59;20/01/2006;;Traffic;;urban;unknown;;8.521575;52.026237;127;;;5711000;Bielefeld, Stadt;no
DENW067;DENW067;DE;GERMANY;Bielefeld-Ost;01/03/1989;;Background;urban;urban;unknown;;8.548389;52.023170;102;BIELEFELD;;5711000;Bielefeld, Stadt;no
DESL019;DESL019;DE;GERMANY;Biringen;01/02/2003;;Background;rural;rural;regional;;6.552036;49.416885;339;;;10044114;Rehlingen-Siersburg;no
DEST014;DEST014;DE;GERMANY;Bitterfeld;03/02/1994;15/03/2004;Background;urban;urban;unknown;;12.321664;51.622963;80;BITTERFELD;;15082015;Bitterfeld-Wolfen, Stadt;no
DEST015;DEST015;DE;GERMANY;Bitterfeld/Wolfen;01/01/1991;;Industrial;suburban;suburban;unknown;;12.302900;51.651165;90;;;15082015;Bitterfeld-Wolfen, Stadt;no
DEST008;DEST008;DE;GERMANY;Blankenburg (SO2-Messstelle);01/11/1989;31/03/1994;Background;;urban;unknown;;10.954586;51.789082;260;BLANKENBURG;;;;no
DEBB086;DEBB086;DE;GERMANY;Blankenfelde-Mahlow;25/05/2010;;Background;suburban;suburban;unknown;;13.424304;52.349703;43;;;12072017;Blankenfelde-Mahlow;no
DEBW166;DEBW166;DE;GERMANY;Blauen;01/01/1900;;Background;rural;rural;unknown;;7.702200;47.782000;1020;;;;;no
DENW027;DENW027;DE;GERMANY;Bochum;01/08/1981;31/12/1996;Background;;urban;unknown;;7.235705;51.472164;85;BOCHUM;;5911000;Bochum, Stadt;no
